,brand,jenis,bentuk_formula
342,Cap Tani Jaya,Diammonium Phosphate,Butiran (Granular)
343,Potafer,Lainnya,Tepung (Powder)
344,SAWIT,Lainnya,Butiran (Granular)
345,BELLARUSIA,NPK padat,Butiran (Granular)
346,GOLDTERA,Hayati Majemuk,Cair (Liquid)
347,LAO YING,Lainnya,Butiran (Granular)
348,BIO TERNAK,Hayati Majemuk,Cair (Liquid)
349,NPK BIAGMA FERTILIZER,NPK padat,Butiran (Granular)
350,testcobasistem,Dolomit,Pelet
351,ZIRAEA,Dolomit,Tepung (Powder)
352,SS,Fosfat Alam untuk pertanian,Butiran (Granular)
353,DJAGO TANI,Hayati Majemuk,Butiran (Granular)
354,HALEI+,NPK padat,Butiran (Granular)
355,DULANG,Lainnya,Cair (Liquid)
356,ECAGANIK,Pupuk Organik,Tepung (Powder)
357,NEO VITABORON,Hara Micro Tunggal,Tepung (Powder)
358,IJOROYO-ROYO,Hayati Tunggal,Cair (Liquid)
359,MENTARI,Fosfat Alam untuk pertanian,Tepung (Powder)
360,CEMPAKA,Pupuk Hayati,Tepung (Powder)
361,Aminosan Gold Nutrisi,Pupuk Organik,Cair (Liquid)
362,AMBASSADOR,Pupuk Organik,Cair (Liquid)
363,SANTAGROW,Lainnya,Tepung (Powder)
364,YOMARI GOLDEN ORGANIC,Pupuk Organik,Cair (Liquid)
365,EnhanZ,Lainnya,Tepung (Powder)
366,FERTILA,NPK padat,Tepung (Powder)
367,SANTAGROW,Urea,Butiran (Granular)
368,javagreen,Pupuk Organik,Butiran (Granular)
369,OKURA EMAS,NPK padat,Butiran (Granular)
370,BINTANG DAUN,Dolomit,Butiran (Granular)
371,PUPUK 10 FEB,Hayati Majemuk,Tepung (Powder)
372,BINTANG TANI,Lainnya,Butiran (Granular)
373,PAK TANI,NPK padat,Butiran (Granular)
374,WISANGGENI,Pupuk Hayati,Cair (Liquid)
375,Triphose Tablet ,Triple Super Fosfat (TSP),Tablet
376,BIO CBA GROW,Hayati Majemuk,Cair (Liquid)
377,BIOJITU,Hayati Majemuk,Tepung (Powder)
378,MIKROHARA,Pupuk Organik,Cair (Liquid)
379,DSC,Pupuk Organik,Tepung (Powder)
380,INBO,Pupuk Organik,Tepung (Powder)
381,NovaTec,NPK padat,Butiran (Granular)
382,MUKTI HASIL,Pupuk Organik,Cair (Liquid)
383,CEMPAKA,Hayati Majemuk,Cair (Liquid)
384,BTJB,Lainnya,Butiran (Granular)
385,GADING NUSANTARA,NPK padat,Butiran (Granular)
386,SHINING-SAR,Lainnya,Cair (Liquid)
387,TS-412,Pupuk Organik,Cair (Liquid)
388,emica,Senyawa Humat,Cair (Liquid)
389,Foliplus 88,Hara Makro Majemuk,Cair (Liquid)
390,AGRIANT MAS,NPK padat,Butiran (Granular)
391,BALLUS,Hayati Tunggal,Cair (Liquid)
392,MerokeMIKRO,Hara Micro Tunggal,Tepung (Powder)
393,TUMPENG,NPK padat,Butiran (Granular)
394,Bintang Padi,Fosfat Alam untuk pertanian,Butiran (Granular)
395,AminoCor,Hara Makro Majemuk,Cair (Liquid)
396,R 36,Dolomit,Butiran (Granular)
397,TANAMAS,Lainnya,Tepung (Powder)
398,INTI,Kaptan,Tepung (Powder)
399,Antasena,Organik,Tepung (Powder)
400,KENCANA MAS,Hayati Majemuk,Cair (Liquid)
401,PULLET,NPK padat,Butiran (Granular)
402,VITALIF,Lainnya,Cair (Liquid)
403,SS,Dolomit,Tepung (Powder)
404,Mahkota Fertilizer,Lainnya,Butiran (Granular)
405,PERTAMA,Amonium Sulfat (ZA),Butiran (Granular)
406,KARDIOSYL,Lainnya,Cair (Liquid)
407,NUTRI-COMP B,NPK padat,Tepung (Powder)
408,java,Fosfat Alam untuk pertanian,Butiran (Granular)
409,Pupuk Indonesia Holding Company Phonska Plus,NPK padat,Butiran (Granular)
410,Mentari,NPK padat,Butiran (Granular)
411,LAO YING,Lainnya,Butiran (Granular)
412,OSMOCOTE,NPK padat,Butiran (Granular)
413,FORMULA 100+,Pupuk Organik,Cair (Liquid)
414,HR,Hayati Majemuk,Cair (Liquid)
