,brand,jenis,bentuk_formula
2414,TANITA,Pupuk Organik,Cair (Liquid)
2415,HUMISOL,Senyawa Humat,Cair (Liquid)
2416,BANANAS,Super Fosfat (SP-36),Butiran (Granular)
2417,Agrina 99,Pupuk Organik,Tepung (Powder)
2418,Swallow Brand,Lainnya,Tepung (Powder)
2419,PuraGro,Pupuk Organik,Butiran (Granular)
2420,RUBY BOOSTER,Lainnya,Butiran (Granular)
2421,BEREA,Pupuk Organik,Butiran (Granular)
2422,MASARO PUPUK ORGANIK CAIR,Pupuk Organik,Cair (Liquid)
2423,KELOPAK DUNIA,Fosfat Alam untuk pertanian,Butiran (Granular)
2424,Mahkota Fertilizer,NPK padat,Butiran (Granular)
2425,Andalanku,Dolomit,Tepung (Powder)
2426,Bintang tani,NPK padat,Butiran (Granular)
2427,HOLLAND PAK TANI,NPK padat,Butiran (Granular)
2428,HARIMAU ROKAN,Pupuk Organik,Butiran (Granular)
2429,MENYAN MADU,Pupuk Organik,Cair (Liquid)
2430,INTERFLOR,NPK padat,Butiran (Granular)
2431,PHONSKA PUPUK INDONESIA HOLDING COMPANY,NPK padat,Butiran (Granular)
2432,Regge,Hara Makro Majemuk,Tepung (Powder)
2433,Biosilac,Lainnya,Cair (Liquid)
2434,Bio Mikro 9,Pupuk Organik,Cair (Liquid)
2435,FORMITRA,NPK padat,Butiran (Granular)
2436,ABABIL,Amonium Sulfat (ZA),Lain-lainnya
2437,Mentari,Fosfat Alam untuk pertanian,Tepung (Powder)
2438,BANANAS,Pupuk Organik,Lain-lainnya
2439,JAGAD TANI,Hayati Majemuk,Cair (Liquid)
2440,PETAGREEN,Pupuk Organik,Tepung (Powder)
2441,FT,Hara Makro Majemuk,Tepung (Powder)
2442,LODRIN,Pupuk Organik,Cair (Liquid)
2443,ATHAgrow,NPK padat,Butiran (Granular)
2444,SOLUTUS,NPK padat,Prill
2445,Bio-s,Hara Makro Majemuk,Cair (Liquid)
2446,ARTHAGANIK,Pupuk Organik,Lain-lainnya
2447,Mega_Bio Tricho-Mix,Hayati Tunggal,Cair (Liquid)
2448,BIRU-SLURRY ,Pupuk Organik,Lain-lainnya
2449,CAP TAWON,NPK padat,Butiran (Granular)
2450,SUNDAG,Dolomit,Butiran (Granular)
2451,BIORA,Hayati Majemuk,Cair (Liquid)
2452,Sawitree,NPK padat,Batang (Stick)
2453,VITRAN,Hara Makro Majemuk,Prill
2454,PRIMTONIC,Lainnya,Cair (Liquid)
2455,CAP WOM IJO,Pupuk Organik,Butiran (Granular)
2456,BAJA CAP BUAH,Dolomit,Butiran (Granular)
2457,Green TONVIT,Lainnya,Cair (Liquid)
2458,NEO KRISTALON,NPK padat,Lain-lainnya
2459,GREEN FARM,Pupuk Organik,Pelet
2460,RUSSELL FERTILIZER,NPK padat,Butiran (Granular)
2461,Mahkota Fertilizer,Fosfat Alam untuk pertanian,Tepung (Powder)
2462,POCA,Hayati Majemuk,Cair (Liquid)
2463,MASTOCALS,Kaptan,Tepung (Powder)
2464,Double XtraPhos (DXP),Single Super Phosphate (SSP),Butiran (Granular)
2465,DAUN SAWIT,NPK padat,Butiran (Granular)
2466,AGRONIK,Lainnya,Cair (Liquid)
2467,GREEN HILL,Hara Makro Majemuk,Butiran (Granular)
2468,MS,Pupuk Organik,Cair (Liquid)
2469,HENDOKI,Pupuk Organik,Cair (Liquid)
2470,LOONGZOU,Fosfat Alam untuk pertanian,Tepung (Powder)
2471,ZIRAEA,Dolomit,Butiran (Granular)
2472,SILOCEL,Lainnya,Cair (Liquid)
2473,MAX,Pupuk Organik,Cair (Liquid)
2474,KUMBANG MAS,NPK padat,Butiran (Granular)
2475,08oktest123,Amonium Sulfat (ZA),Prill
2476,FLORAPHOS,Fosfat Alam untuk pertanian,Butiran (Granular)
2477,Super Brucite,Lainnya,Butiran (Granular)
2478,APH BIO BIAGMA,Pupuk Organik,Butiran (Granular)
2479,FT,Hara Makro Majemuk,Butiran (Granular)
2480,CEMPAKA,Hayati Majemuk,Tepung (Powder)
2481,CAP KUDA SAKTI,Lainnya,Lain-lainnya
2482,CONTROLLED RELEASE FERTILIZER MEISTER MX,NPK padat,Butiran (Granular)
2483,Eco Fresh,Pupuk Hayati,Cair (Liquid)
2484,MENTARI,Lainnya,Tepung (Powder)
2485,MENTARI,NPK padat,Butiran (Granular)
2486,AGRONOUS,NPK padat,Butiran (Granular)
2487,EXPERTGROW,Pupuk Organik,Cair (Liquid)
2488,BUAMAX,NPK padat,Butiran (Granular)
2489,BEENSAE,Hayati Majemuk,Cair (Liquid)
2490,CAP DAUN,Amonium Sulfat (ZA),Lain-lainnya
2491,PURNAMA BIO,Hayati Majemuk,Tepung (Powder)
2492,MaKa,Lainnya,Cair (Liquid)
2493,BABE,Fosfat Alam untuk pertanian,Butiran (Granular)
2494,Vitanik CONCENTRATE,Lainnya,Cair (Liquid)
2495,coda,Hara Makro Majemuk,Cair (Liquid)
2496,Metalosate,Lainnya,Cair (Liquid)
2497,Pupindo,NPK padat,Butiran (Granular)
2498,Gandapan Maxima,NPK padat,Tepung (Powder)
2499,Daun Sawit,Lainnya,Tepung (Powder)
2500,DGW,NPK padat,Butiran (Granular)
2501,MPS Multidaya,Pupuk Organik,Cair (Liquid)
2502,TALYROSO,Lainnya,Cair (Liquid)
2503,HANOMAN H368,Organik,Lain-lainnya
2504,Siti Lohjinawe,Organik,Tepung (Powder)
2505,Mahkota,Kalium Klorida (KCl),Butiran (Granular)
2506,UTAH,NPK padat,Butiran (Granular)
2507,DOTANI,Dolomit,Tepung (Powder)
2508,HARAMAX,Pupuk Organik,Tepung (Powder)
2509,FERTICOMP,NPK padat,Butiran (Granular)
2510,AKP,Amonium Sulfat (ZA),Tepung (Powder)
2511,Supratonik,Lainnya,Tepung (Powder)
2512,Kies Prill 30,Lainnya,Butiran (Granular)
2513,Mahkota Fertilizer,NPK padat,Butiran (Granular)
2514,BINTANG BIOSKA,Dolomit,Butiran (Granular)
2515,MerokeMIKRO,Hara Micro Tunggal,Tepung (Powder)
2516,BIANGLALA,NPK padat,Butiran (Granular)
2517,OSMOCOTE,NPK padat,Butiran (Granular)
2518,GRO,NPK padat,Tepung (Powder)
2519,Ijoku,Pupuk Organik,Cair (Liquid)
2520,PUSRI,NPK padat,Butiran (Granular)
2521,LEILI 2000,Hara Makro Majemuk,Cair (Liquid)
2522,Calstreng,Lainnya,Cair (Liquid)
2523,JatiBumi,Dolomit,Butiran (Granular)
2524,GADING NUSANTARA,NPK padat,Butiran (Granular)
2525,RabanaSol,Lainnya,Tepung (Powder)
2526,MINEYA orfe,Pupuk Organik,Tepung (Powder)
2527,Gandasil D,NPK padat,Tepung (Powder)
2528,BISIMAG,Lain - lainnya.,Tepung (Powder)
2529,BILLIZER,Pupuk Organik,Butiran (Granular)
2530,Manjat,Hayati Majemuk,Cair (Liquid)
2531,KANCIL EMAS,NPK padat,Butiran (Granular)
2532,BEENSAE,Lainnya,Cair (Liquid)
2533,HUMICARE,Senyawa Humat,Cair (Liquid)
2534,BALLIGROW,Hara Makro Majemuk,Cair (Liquid)
2535,RG,NPK padat,Tepung (Powder)
2536,Lembu Lestari,Pupuk Organik,Lain-lainnya
2537,MUKTI HASIL,Hayati Majemuk,Cair (Liquid)
2538,BIOTARA,Hayati Majemuk,Lain-lainnya
2539,RabanaSil,Lainnya,Butiran (Granular)
2540,NAFANT,Hayati Majemuk,Cair (Liquid)
2541,GardaPrima,Hayati Majemuk,Cair (Liquid)
2542,Lampoko Biourine,Pupuk Organik,Cair (Liquid)
2543,Mahkota,Fosfat Alam untuk pertanian,Tepung (Powder)
2544,DOPANG (DOLOMIT PANGGANG),Dolomit,Tepung (Powder)
2545,PHONSKA OCA,Pupuk Organik,Cair (Liquid)
2546,Daun Sawit,Lainnya,Butiran (Granular)
2547,Mahkota,NPK padat,Butiran (Granular)
2548,BLESS,NPK padat,Butiran (Granular)
